SEXO;EDAD;P1;ECOPER;ECOESP;PESPANNA1;PPERSONAL1;RECUVOTOG1;PROBVOTO;ESCIDEOL;NIVELESTENTREV;RELIGION;ECIVIL;SITLAB;RELALAB;CNO11;INGRESHOG;CLASESOCIAL
1;65;1;2;2;13;1;1;10;3;14;2;1;2;0;0;3;3
1;26;2;2;5;13;8;2;10;4;7;2;2;1;1;3;9;3
2;78;4;2;2;1;29;21;10;2;7;4;1;2;0;0;3;5
1;51;2;2;2;13;9;2;10;3;6;2;2;1;1;7;4;5
1;45;1;4;2;9;6;21;10;7;13;4;2;1;1;2;4;5
1;66;4;2;4;46;24;2;10;8;4;2;5;2;0;0;9;3
1;78;1;4;4;8;29;1;10;1;2;2;1;2;0;0;5;11
1;67;2;2;2;26;6;1;10;5;11;2;1;2;0;0;2;3
1;52;4;2;4;1;8;2;10;6;6;2;1;1;1;9;4;3
1;68;2;2;3;8;51;1;10;4;11;4;1;2;0;0;3;3
1;44;1;2;2;1;97;21;10;2;10;6;2;1;1;3;5;5
1;50;1;2;3;51;16;2;10;7;6;2;1;1;1;5;4;3
2;46;1;2;4;8;80;1;10;8;14;6;1;1;1;2;1;3
1;75;5;4;5;50;8;3;10;10;6;1;1;2;0;0;5;3
2;31;2;2;4;51;51;1;9;3;10;2;1;1;3;2;2;3
2;55;1;5;3;8;78;1;10;99;11;3;2;4;0;0;6;3
1;43;1;2;2;51;51;1;8;5;12;2;1;1;1;2;3;3
1;35;2;4;5;24;35;3;10;8;6;2;1;1;1;3;5;4
2;67;2;2;2;51;80;1;10;5;4;2;1;2;0;0;3;3
1;57;1;2;2;13;80;1;5;2;3;4;1;1;1;7;3;2
2;53;1;2;2;19;97;1;10;1;7;4;2;1;1;4;5;3
1;55;1;2;4;51;8;2;10;5;13;2;1;1;1;1;2;2
2;65;4;2;4;1;22;2;10;8;11;1;5;2;0;0;4;3
2;60;1;2;4;51;6;21;10;3;6;4;1;1;1;3;5;12
2;61;2;2;2;1;80;1;10;1;5;2;1;1;1;7;4;3
1;57;2;2;5;65;8;3;10;8;6;2;1;1;1;10;4;3
2;73;2;2;4;70;54;2;10;4;14;4;5;2;0;0;4;2
1;69;2;1;2;50;51;1;8;4;10;2;1;2;0;0;1;2
2;47;2;3;8;51;8;21;10;5;7;5;1;1;1;4;4;3
1;44;1;2;2;1;6;1;10;4;13;5;2;1;1;2;4;3
1;33;4;2;4;13;51;2;10;6;7;2;2;1;1;7;3;3
1;35;4;2;5;51;9;1;10;4;7;4;2;1;1;3;1;12
2;64;1;1;2;25;3;2;10;10;11;2;1;2;0;0;1;2
2;22;2;4;4;46;8;1;8;3;6;6;2;6;0;0;8;3
2;53;2;2;2;13;51;3;8;7;9;5;2;1;2;5;1;4
1;31;4;2;4;96;81;2;10;5;13;2;2;1;1;4;2;3
1;64;1;2;2;7;7;1;10;3;9;5;1;2;0;0;2;3
1;40;2;2;4;42;42;1;10;3;9;6;1;1;1;3;4;3
2;56;4;4;8;1;8;1;7;3;4;1;5;4;0;0;6;4
2;48;1;2;4;51;46;1;10;3;8;2;1;1;1;3;1;3
2;36;4;4;3;1;1;1;5;7;4;2;1;6;0;0;6;3
1;48;2;2;4;51;51;1;10;3;7;4;4;1;1;3;4;4
